Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
550,1,0,0,0.0438596,0,0,0,0.00877193,0,0,0.192982,0.324561,0,0,0,0.157895,0.570175,0,0.464912,0.00877193,0,0,0.0526316,0,0.868421,0,0.324561,0.429825,1,1,
551,1,0,0,0,0,0,0,0,0,0,0,0.580645,0,0.0215054,0,0.129032,0.666667,0,0.387097,0.0107527,0.0430108,0.215054,0,0,1,0,0.408602,0.204301,1,1,
552,1,0,0,0,0,0,0,0.0422535,0,0,0,0.380282,0,0,0,0,0.394366,0,0.535211,0,0.0704225,0.0422535,0.056338,0,0.901408,0,0.338028,0.507042,1,1,
553,1,0,0,0.0508475,0,0.0338983,0,0,0,0,0,1,0.101695,0,0,0.40678,1,0,0.135593,0,0.118644,0.59322,0,0.237288,1,0.254237,0.745763,0.305085,1,1,
554,1,0,0,0.0111111,0,0.0222222,0,0,0,0,0,0.644444,0,0,0,0.0555556,0.333333,0,0.188889,0,0.0222222,0.0222222,0,0.122222,0.922222,0.0444444,0.0888889,0.333333,0.988889,1,
555,1,0,0,0.295455,0.136364,0.136364,0.0795455,0.0113636,0,0,0,0,0,0,0,0,0,0,0.522727,0,0,0.0113636,0,1,0.852273,0.727273,0.545455,0.0909091,0,1,
556,1,0,0,0,0,0,0,0,0,0,0.09375,0.1875,0,0,0,0,0,0,0.875,0.0625,0,0,0,0,0.5625,0.03125,0.875,0.03125,0.53125,1,
557,1,0,0,0.0413223,0,0,0,0,0,0,0.107438,0.53719,0,0,0,0.264463,0.0661157,0,0.528926,0.0165289,0.0413223,0.0247934,0,0.00826446,0.859504,0.0661157,0.454545,0.553719,0.752066,1,
558,1,0,0,0,0,0,0,0,0,0,0,0,0.763158,0,0,0,0,0,0.578947,0,0,0.184211,0,1,1,0.105263,0.578947,0,0.210526,1,
559,1,0.0172414,0,0,0,0,0.0172414,0,0,0.103448,0,0,0,0,0,0,0,0,0,0,0,0.0172414,0,0.948276,0.551724,0,0.0517241,0,0,1,
560,1,0,0,0.0843373,0,0,0,0,0,0.0903614,0,1,0,0,0,0.554217,0.843373,0,0.0722892,0.0662651,0.0301205,0.463855,0.0843373,0.192771,0.987952,0,0.13253,0.680723,1,1,
561,1,0.492308,0,0.0153846,0,0.184615,0.630769,0,0,0.0307692,0,0,0.0307692,0,0,0,0,0,0.4,0,0.338462,0,0,1,0.738462,0.569231,0.446154,0.523077,0,1,
