Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
65,1,0,0,0,0.8,0,0,0,0,0,0,1,0,0,1,0.4,0,0,1,0,1,1,0.6,1,1,0,0,1,1,1,
66,1,0,0,0.469565,0.33913,0.304348,0.104348,0.408696,0,0,0,0,0.182609,0,0,0,0.00869565,0,0,0,0.147826,0,0,0.026087,0.2,0,0,0.191304,0,1,
67,1,0,0,0,0.228916,0,0.0361446,0,0,0.26506,0,0,0.626506,0,0,0,0,0,0,0,0,0.927711,0,0.108434,0.060241,0,0,0.060241,0.26506,1,
68,1,0,0.47541,0,0,0,0.147541,0,0,0,0,0,0,0,0,0,0,0,0.278689,0,0,0,0,0.836066,0.508197,0.918033,0,0.0655738,0,1,
69,1,0,0.108108,0,0.306306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603604,0.144144,0,0,0.027027,0,1,
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
71,1,0,0,0,0.0930233,0.0116279,0.686047,0,0,0.0348837,0,0,0.197674,0,0,0,0,0,0.0116279,0,0,0.337209,0,0.802326,0.569767,0.0697674,0,0.337209,0,1,
72,1,0,0,0,0,0,0,0,0.0833333,0,0,0.966667,0,0.15,0,0.416667,0.766667,0.616667,0.333333,0,0.8,0.666667,0,0.616667,1,0.166667,0,0.1,1,1,
73,1,0,0,0,0,0,0,0,0,0.00813008,0,0.780488,0,0,0,0.536585,0.560976,0.414634,0.617886,0.0243902,0.707317,0.642276,0,0.284553,0.98374,0.715447,0.333333,0.365854,0.934959,1,
74,1,0,0,0,0.34375,0,0,0,0.695313,0.0078125,0,0.914063,0.25,0,0,0.195313,0.164063,0.03125,0.328125,0,0.09375,0.21875,0,0.851563,1,0.3125,0.203125,0.0546875,0.96875,1,
75,1,0,0,0,0.0620155,0,0,0,0,0,0,0.0155039,0.271318,0,0,0.131783,0,0,0.00775194,0,0,0.00775194,0,0.782946,0.713178,0.565891,0,0,0.00775194,1,
76,1,0,0,0,0.123188,0,0.00724638,0,0,0,0,0,0.202899,0,0,0,0,0,0,0,0,0.275362,0,0.84058,0.826087,0.782609,0,0,0,1,
77,1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.133333,0,0.05,0,0,0,0,0,1,
78,1,0,0.185185,0,0.685185,0,0,0,0,0,0,0,0.351852,0,0,0,0,0,0,0,0,0.62963,0,0,0,0,0,0,0,1,
79,1,0,0,0.0235294,0.182353,0,0,0,0.482353,0.0352941,0,0.876471,0,0.1,0,0.729412,0.470588,0.311765,0.270588,0,0.352941,0.976471,0.182353,0.447059,0.976471,0.0647059,0,0.535294,1,1,
80,1,0,0,0,0.212389,0.0619469,0,0,0,0.00884956,0.0442478,0.911504,0,0.0530973,0.168142,0.557522,0.460177,0,1,0.221239,0.637168,0.787611,0.39823,0.955752,1,0.265487,0.769912,0.893805,0.955752,1,
81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607143,0,0,0,0,0,0,0,1,
82,1,0,0,0,0,0,0,0,0,0,0,0.352941,0,0,0.0294118,0.0882353,0.205882,0.617647,1,0.676471,0.264706,0,0.794118,0.970588,1,0.176471,0.794118,0.705882,0.970588,1,
83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
84,1,0,0,0.03125,0.0625,0.546875,0.359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,0,0,0.046875,0,0,0,0,1,
85,1,0,0,0.0190476,0,0.00952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609524,0.666667,0,0,0,0,1,
86,1,0,0,0,0.265306,0,0,0,0.510204,0.306122,0,0.959184,0,0,0,0.0612245,0.163265,0.142857,0.489796,0,0.102041,0.122449,0,0.897959,0.979592,0.102041,0.408163,0.0204082,1,1,
87,1,0,0.309524,0,0.309524,0,0,0,0,0.0952381,0,0.761905,0,0,0,0,0,0,0.261905,0.166667,0,0.809524,0,0.714286,1,0,0.285714,0,0.5,1,
88,1,0,0,0,0,0,0,0,0,0,0,0.611111,0,0,0.138889,0.138889,0.138889,0.0555556,1,0.305556,0.388889,0.25,0.361111,0.888889,1,0.305556,0.694444,0.611111,0.805556,1,
89,1,0,0,0.10274,0.0684932,0,0,0.136986,0,0.0410959,0,0.123288,0.253425,0,0,0,0,0,0,0,0,0.630137,0,0,0.178082,0.0342466,0,0.0136986,0.561644,1,
90,1,0,0,0,0,0,0.421053,0,0,0,0,0,0.631579,0,0,0,0,0,0,0,0,0.315789,0,0,0.894737,0.342105,0,0,0,1,
91,1,0,0,0,0.0701754,0,0,0,0.0350877,0.0877193,0,0.692982,0,0,0,0.350877,0.289474,0.45614,0.298246,0,0.938596,0.675439,0,0.210526,1,0.350877,0,0.219298,1,1,
92,1,0,0.611111,0,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793651,0,0,0,0,0.674603,0.119048,0.174603,0,0,0,1,
