Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
1060,1,0,0,0,0.0454545,0,0,0,0.0227273,0,0,0.272727,0.0227273,0,0,0.545455,0.136364,0.795455,0.613636,0,0.0454545,0,0,0.431818,0.909091,0,0.568182,0.0681818,0.954545,1,
1061,1,0,0,0,0,0,0,0,0,0,0,0.342857,0,0,0,0.285714,0.0142857,0,0.285714,0,0,0.1,0,0,0.0714286,0,0.228571,0,0.585714,1,
1062,1,0,0.565657,0,0,0,0,0,0,0,0,0,0.646465,0,0,0,0,0,0.666667,0,0.121212,0.959596,0,1,1,0.0707071,0,0.0808081,0,1,
1063,1,0,0.606061,0,0,0.0151515,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0151515,0.469697,0,1,1,0.848485,0.515152,0.181818,0,1,
1064,1,0,0,0.152778,0,0,0,0.263889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138889,0,0,0,0,0,0,0,1,
1065,1,0,0,0,0.114035,0,0,0,0.824561,0,0.0350877,0.578947,0.675439,0.210526,0,0.403509,0.210526,0.0526316,0.438596,0,0.0614035,0.0789474,0.175439,0.0614035,1,0,0.368421,0.517544,1,1,
1066,1,0,0,0,0.182353,0,0,0,0.435294,0.0294118,0,0.864706,0.223529,0.458824,0,0.805882,0.623529,0,0.476471,0.0117647,0,0.676471,0.170588,0.0117647,0.952941,0,0.388235,0.0294118,0.911765,1,
1067,1,0,0,0.307692,0.211538,0.403846,0,0,0,0,0,0,0,0,0,0,0,0,0.355769,0,0,0,0,0.163462,0,0,0.278846,0.0673077,0,1,
1068,1,0,0,0.414634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853659,0,0,0,0,0.219512,0,0,0.0853659,0,0,1,
1069,1,0.09375,0,0.25,0,0,0,0.3125,0,0.625,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0.71875,0.03125,0,0.1875,0,0,1,
1070,1,0.711111,0,0,0.666667,0.955556,0.111111,0,0,0.266667,0,0,0.0444444,0,0,0,0,0,0.311111,0,0,0.311111,0,0.888889,0.577778,0.111111,0,0,0,1,
1071,1,0,0,0.520325,0.0406504,0.186992,0,0.00813008,0,0,0,0,0.0731707,0,0,0,0,0,0.430894,0,0,0.146341,0,0.463415,0.0813008,0,0.235772,0.097561,0,1,
1072,1,0.325843,0,0,0,0,0,0,0,0,0,0.595506,0.011236,0.0449438,0,0.191011,0,0,0.460674,0,0.101124,0.404494,0,0.460674,0.764045,0,0,0.595506,0.382022,1,
1073,1,0.550725,0,0,0.115942,0.275362,0.768116,0,0,0.681159,0,0,0,0,0,0,0,0,0,0,0,0.0144928,0,0.869565,0.217391,0,0,0,0,1,
1074,1,0,0.861111,0,0.138889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916667,0,0,0.527778,0,1,1,0.75,0.666667,0.277778,0,1,
1075,1,0.0537634,0,0.548387,0,0.193548,0.11828,0,0,0.0322581,0,0,0,0,0,0,0,0,0.107527,0,0,0,0,0.645161,0.0107527,0,0.0752688,0,0,1,
1076,1,0,0,0,0.0288462,0,0,0,0.0192308,0,0.0769231,1,0,0.163462,0,1,1,0.884615,0.653846,0,0.0865385,0,0.125,0.0192308,1,0.298077,0.625,0.394231,1,1,
